asset,experiment,agent_type,label,total_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
BTC,ablation,embeddings,btc/embeddings/20260319_124108,0.7525643269303268,2.1456625782567085,2.6631620027701297,0.14844687092182351,5.6779469971988865
ETH,ablation,baseline,eth/baseline/20260319_124930,0.5487804557203046,1.321357329049795,1.6403020047205412,0.296594593183933,2.058904737825496
ETH,ablation,baseline,eth/baseline/20260319_125718,0.06737664321285575,0.3778829695807958,0.473460860040004,0.3292809086324139,0.2236007354560865
ETH,ablation,baseline,eth/baseline/20260319_130519,-0.06539319522871678,-0.011639125405263153,-0.011988512696691713,0.2592165997565057,-0.27404265723704885
ETH,ablation,baseline,eth/baseline/20260319_131305,0.5399518550125724,1.2084384626377735,1.475667451358135,0.2940235011652904,2.042894608805668
ETH,ablation,baseline,eth/baseline/20260319_132046,0.8534183710851664,1.6821186978635507,2.3508486482694195,0.2787743921999001,3.439032764126866
ETH,ablation,sentiment,eth/sentiment/20260319_132833,0.3864593160451557,0.9691876650655957,1.1140344221475713,0.2750561480340481,1.55469556330344
ETH,ablation,sentiment,eth/sentiment/20260319_133616,0.3546472884045868,0.9852064099589303,0.9343156219414112,0.25528089918959596,1.5354670898247365
ETH,ablation,sentiment,eth/sentiment/20260319_134400,0.14603639631947996,0.5806922447755353,0.6235280919742889,0.33004012871607646,0.48512760288490386
ETH,ablation,sentiment,eth/sentiment/20260319_135144,0.26970093734938594,0.7883052099099467,0.9454961336739945,0.2801617302485321,1.0606153668958136
ETH,ablation,sentiment,eth/sentiment/20260319_135929,0.4685552446022967,1.1574397983152682,1.6285065541580621,0.32225714745189715,1.613532403069462
ETH,ablation,embeddings,eth/embeddings/20260319_141004,0.18109716225628048,0.6205953472124133,0.7644522647336299,0.3557296393644015,0.5589462934148892
ETH,ablation,embeddings,eth/embeddings/20260319_142042,0.49553253501597805,1.2023019234861303,1.357202596574339,0.23998104923417474,2.2935957572725103
ETH,ablation,embeddings,eth/embeddings/20260319_143054,0.6000403196504653,1.2886131175060522,1.690280901263648,0.2927663974844005,2.2845072705290255
ETH,ablation,embeddings,eth/embeddings/20260319_144031,-0.04870207360268397,0.13484345515414545,0.14920634357232032,0.43904218883861346,-0.1205943039155839
ETH,ablation,embeddings,eth/embeddings/20260319_144957,0.7652667263526327,1.8168235122039174,2.1970475572801034,0.1281528588313956,6.690691730607944
BTC,algo_comparison,embeddings_PPO,,0.7129824803394145,1.9248873821428076,2.4828252649000895,0.21291331366736888,3.745988655238919
BTC,algo_comparison,embeddings_PPO,,0.9777511080313226,2.4335162774384695,3.2275802865437777,0.18598906429273832,5.926686796847139
BTC,algo_comparison,embeddings_PPO,,0.011350286826307343,0.17679112091388852,0.1704481786395461,0.18168503997568752,0.06810133587976708
BTC,algo_comparison,embeddings_A2C,,1.0026143255690902,2.026714006686242,2.7241800601479786,0.18080735252883462,6.255889497964247
BTC,algo_comparison,embeddings_A2C,,0.6997085558018779,1.8106473482477532,2.2500316110711784,0.20851421277224225,3.752258972731166
BTC,algo_comparison,embeddings_A2C,,0.8137058253289384,1.733255874770595,2.226957800503412,0.259967933828017,3.5120922044451697
